,Open,High,Low,Close,Adj Close,Volume,Dividend
2012-04-30,161.96,163.56,156.58,161.88,161.88,198316199.0,0.0
2012-05-31,162.09,162.18,148.53,151.62,151.62,256203236.0,0.0
2012-06-29,155.41,159.2,150.15,155.19,155.19,237884513.0,0.0
2012-07-31,154.67,157.96,150.85,156.49,156.49,155152336.0,0.0
2012-08-31,155.18,164.22,153.61,164.22,164.22,190704188.0,0.0
2012-09-28,164.11,173.185,163.66,171.89,171.89,229641470.0,0.0
2012-10-31,172.83,174.07,164.6,166.83,166.83,165188552.0,0.0
2012-11-30,167.02,170.01,162.3,166.05,166.05,173530248.0,0.0
2012-12-31,166.11,166.94,158.39,162.0204,162.0204,199945719.0,0.0
2013-01-31,163.49,164.4,158.89,161.2,161.2,222333728.0,0.0
2013-02-28,162.66,162.96,150.841,153.0,153.0,241529299.0,0.0
2013-03-28,153.1599,156.43,151.403,154.47,154.47,160538419.0,0.0
2013-04-30,154.57,154.93,130.51,142.77,142.77,454060013.0,0.0
2013-05-31,140.59,142.81,130.85,133.92,133.92,278656562.0,0.0
2013-06-28,134.77,137.62,114.68,119.11,119.11,253980396.0,0.0
2013-07-31,119.94,130.1399,116.74,127.96,127.96,191243760.0,0.0
2013-08-30,127.84,137.55,123.55,134.62,134.62,194509364.0,0.0
2013-09-30,135.46,136.789,125.15,128.18,128.18,203799287.0,0.0
2013-10-31,125.25,131.44,121.85,127.74,127.74,203300726.0,0.0
2013-11-29,126.86,127.52,119.13,120.7,120.7,130537048.0,0.0
2013-12-31,119.2,122.32,114.46,116.12,116.12,185438701.0,0.0
2014-01-31,117.93,122.51,117.11,120.09,120.09,153062471.0,0.0
2014-02-28,120.47,129.53,120.32,127.62,127.62,156710028.0,0.0
2014-03-31,130.0,133.69,123.57,123.61,123.61,182597098.0,0.0
2014-04-30,123.71,128.25,122.8404,124.22,124.22,127894798.0,0.0
2014-05-30,123.17,126.63,119.62,120.43,120.43,113326510.0,0.0
2014-06-30,119.93,128.04,119.42,128.04,128.04,140006326.0,0.0
2014-07-31,127.99,129.21,123.23,123.39,123.39,140696776.0,0.0
2014-08-29,124.54,126.81,122.45,123.86,123.86,118212614.0,0.0
2014-09-30,121.97,122.66,115.85,116.21,116.21,140573189.0,0.0
